(6,16)
(7,23)
(6,21)
(6,19)
(6,17)
(6,19)
(6,19)
(7,22)
(6,20)
(6,18)
(6,16)
(6,21)
(6,18)
(7,16)
(6,17)
(6,22)
(6,19)
(6,20)
(6,20)
(7,17)
(6,19)
(6,21)
(6,19)
(6,18)
(6,14)
(7,17)
(6,22)
(6,18)
(5,14)
(6,20)
(5,23)
(6,21)
(6,22)
(6,18)
(6,18)
(6,17)
(6,15)
(6,19)
(5,21)
(5,18)
(6,23)
(6,21)
(5,19)
(5,22)
(5,24)
(5,22)
(5,21)
(5,20)
(6,22)
(6,19)
(6,20)
(6,22)
(6,16)
(6,19)
(6,17)
(6,22)
(6,20)
(6,16)
(6,19)
(6,16)
(7,18)
(6,22)
(6,21)
(6,17)
(6,16)
(6,21)
(5,21)
(6,20)
(6,22)
(6,14)
(6,17)
(6,21)
(7,18)
(5,21)
(6,24)
(5,15)
(6,22)
(6,18)
(7,19)
(6,22)
(6,20)
(6,16)
(6,20)
(6,23)
(7,16)
(6,25)
(6,21)
(6,21)
(6,19)
(6,21)
(7,20)
(6,20)
(6,21)
(6,17)
(6,19)
(5,20)
(7,20)
(6,22)
(6,22)
(6,19)
(6,19)
(6,18)
(7,19)
(6,20)
(6,22)
(6,21)
(6,16)
(6,21)
(7,23)
(6,25)
(6,23)
(6,20)
(6,20)
(6,22)
(6,21)
(5,24)
(6,25)
(6,21)
(6,21)
(6,21)
(7,22)
(6,24)
(6,27)
(6,22)
(6,26)
(6,25)
(7,27)
(6,30)
(6,27)
(6,27)
(6,27)
(6,31)
(7,33)
(6,27)
(6,29)
(6,29)
(6,34)
(6,31)
(7,29)
(6,32)
(6,32)
(6,33)
(6,34)
(6,32)
(7,32)
(6,32)
(6,35)
(6,32)
(6,32)
(6,32)
(5,34)
(6,35)
(6,32)
(6,30)
(6,30)
(6,33)
(6,33)
(6,31)
(6,32)
(6,31)
(6,33)
(6,33)
(6,31)
(6,34)
(6,30)
(6,37)
(6,32)
(7,37)
(5,34)
(6,36)
(6,33)
(6,36)
(6,34)
(7,38)
(6,41)
(6,33)
(6,37)
(6,42)
(6,39)
