(6,8)
(7,6)
(5,7)
(5,11)
(6,8)
(6,6)
(6,7)
(7,9)
(5,6)
(5,5)
(6,9)
(6,8)
(6,3)
(7,8)
(5,6)
(5,8)
(6,8)
(6,8)
(6,6)
(6,6)
(5,8)
(5,9)
(6,9)
(6,5)
(6,7)
(6,7)
(5,4)
(5,8)
(6,6)
(6,7)
(6,6)
(6,12)
(6,5)
(5,7)
(6,8)
(6,4)
(6,9)
(6,4)
(6,5)
(5,11)
(6,10)
(6,6)
(6,6)
(6,6)
(7,5)
(5,10)
(5,8)
(6,8)
(6,9)
(6,4)
(7,6)
(5,8)
(5,7)
(6,10)
(6,10)
(6,7)
(7,6)
(6,7)
(5,5)
(5,10)
(6,8)
(6,5)
(7,7)
(6,4)
(5,8)
(5,10)
(6,6)
(6,4)
(7,8)
(6,6)
(5,10)
(6,10)
(6,5)
(6,9)
(7,6)
(6,3)
(5,8)
(5,10)
(6,9)
(6,7)
(7,6)
(6,6)
(5,10)
(6,7)
(6,4)
(6,6)
(6,6)
(5,7)
(5,6)
(6,4)
(6,6)
(6,9)
(6,6)
(6,8)
(5,8)
(6,10)
(6,7)
(6,6)
(6,5)
(7,9)
(5,11)
(5,5)
(6,9)
(6,4)
(6,9)
(6,11)
(5,8)
(6,11)
(6,13)
(6,9)
(6,6)
(7,3)
(5,8)
(6,8)
(6,8)
(6,6)
(6,7)
(7,11)
(5,8)
(5,9)
(6,10)
(6,7)
(6,10)
(7,6)
(5,6)
(5,12)
(6,9)
(6,7)
(6,10)
(7,5)
(6,6)
(5,8)
(6,11)
(6,9)
(6,7)
(7,10)
(6,10)
(6,9)
(5,16)
(5,10)
(6,15)
(7,13)
(6,12)
(6,11)
(6,9)
(6,13)
(5,12)
(5,11)
(6,16)
(6,11)
(6,13)
(6,6)
(6,13)
(7,14)
(5,10)
(5,16)
(5,16)
(6,16)
(6,17)
(6,16)
(6,13)
(6,12)
(6,17)
(6,15)
(5,16)
(5,17)
(5,15)
(6,16)
(6,14)
(6,13)
(6,15)
(6,11)
(6,12)
(6,14)
(5,18)
(5,15)
(5,19)
(6,16)
(7,17)
(6,13)
(6,13)
(6,13)
(6,16)
(6,11)
(7,16)
(5,14)
(5,16)
(6,20)
(6,17)
(6,17)
(7,20)
(6,17)
(6,15)
(6,16)
(6,13)
(5,15)
(6,16)
(5,14)
(6,17)
(6,17)
(6,15)
(6,15)
(7,18)
(6,17)
(6,18)
(6,17)
(6,19)
(5,16)
(6,18)
(6,20)
(6,17)
(6,11)
(6,15)
(6,15)
(7,15)
(6,16)
(6,19)
(6,80)
(6,79)
(6,74)
(7,71)
(6,85)
(6,67)
(5,56)
(5,34)
(5,20)
(7,18)
(6,18)
(6,18)
(6,15)
(6,13)
(6,14)
(7,15)
(6,18)
(5,15)
(5,21)
(6,21)
(6,20)
(7,21)
(6,15)
(6,16)
(6,14)
(6,11)
(6,15)
(6,17)
(5,16)
(5,17)
(6,20)
(6,16)
(6,17)
(7,17)
(6,14)
(6,19)
(6,15)
(6,13)
(5,13)
(6,14)
(5,15)
(6,19)
(6,14)
(6,16)
(6,16)
(7,15)
(6,18)
(6,18)
(6,17)
(5,19)
(5,16)
(7,21)
(6,18)
(6,15)
(6,17)
(6,17)
(6,15)
(7,16)
(6,16)
(6,14)
(5,19)
(5,21)
(5,21)
(7,18)
(6,18)
(6,17)
(6,15)
(6,16)
(6,15)
(7,16)
(6,16)
(6,16)
(5,19)
(5,21)
(6,21)
(7,21)
(6,15)
(6,17)
(6,16)
(6,15)
(6,19)
(7,17)
(6,17)
(5,15)
(5,18)
(6,21)
(6,21)
(7,21)
(6,16)
(6,16)
(6,16)
(6,16)
(6,16)
(7,17)
(6,22)
(6,27)
(6,33)
(6,282)
(6,231)
(8,241)
(6,244)
(7,211)
(6,167)
(6,103)
(7,46)
(6,35)
(6,29)
(6,28)
(5,22)
(5,21)
(6,18)
(6,19)
(6,20)
(6,16)
(6,18)
(6,16)
(7,17)
(6,18)
(5,16)
(5,19)
(5,21)
(6,20)
(6,21)
(6,18)
(6,17)
(6,15)
(6,14)
(6,16)
(6,15)
(5,19)
(5,16)
(5,17)
(6,17)
(6,21)
(6,19)
(6,17)
(6,18)
(6,13)
(6,13)
(6,17)
(5,12)
(5,16)
(5,18)
(6,16)
(6,18)
(6,15)
(6,18)
(7,19)
(6,20)
(6,18)
(6,19)
(5,19)
(5,19)
(5,20)
(6,18)
(6,16)
(6,18)
(6,18)
(6,16)
(7,19)
(6,19)
(6,19)
(6,19)
(6,15)
(5,16)
(6,19)
(5,18)
(5,18)
(6,18)
(6,21)
(6,21)
(7,18)
(6,19)
(6,19)
(6,19)
(6,19)
(6,18)
(6,18)
(5,18)
(6,18)
(6,20)
(6,21)
(6,19)
(7,20)
(6,21)
(6,16)
(6,16)
(6,16)
(6,18)
(6,21)
(5,18)
(6,20)
(6,21)
(6,21)
(6,22)
(7,20)
(6,17)
(6,16)
(6,20)
(6,16)
(6,18)
(7,20)
(6,16)
(5,23)
(5,20)
(5,22)
(6,22)
(7,22)
(6,23)
(6,25)
(6,22)
(6,21)
(6,28)
(7,25)
(6,25)
(6,26)
(6,27)
(6,28)
(6,29)
(7,32)
(6,37)
(6,36)
(6,44)
(6,46)
(6,62)
(8,184)
(7,385)
(7,322)
(7,357)
(7,360)
(8,359)
(7,393)
(7,378)
(7,398)
(7,362)
(8,377)
(7,388)
(7,356)
(7,440)
(7,362)
(8,397)
(6,373)
(7,359)
(7,407)
(7,366)
(8,375)
(7,325)
(7,328)
(7,305)
(7,264)
(6,255)
