(5,12)
(6,12)
(6,10)
(6,10)
(6,7)
(7,3)
(5,8)
(5,8)
(6,12)
(6,10)
(6,5)
(7,10)
(5,8)
(5,5)
(6,8)
(6,13)
(6,8)
(7,7)
(6,8)
(5,7)
(6,11)
(6,9)
(6,5)
(7,8)
(6,6)
(5,6)
(6,12)
(6,10)
(6,4)
(7,9)
(6,7)
(5,7)
(5,10)
(6,7)
(6,8)
(6,9)
(6,8)
(5,9)
(5,9)
(6,6)
(6,9)
(6,8)
(6,7)
(5,9)
(5,9)
(6,7)
(6,10)
(6,8)
(7,7)
(5,10)
(5,10)
(6,9)
(6,7)
(6,8)
(7,11)
(5,5)
(5,7)
(6,12)
(6,9)
(6,5)
(7,7)
(5,7)
(5,7)
(6,12)
(6,7)
(6,10)
(7,9)
(6,9)
(5,10)
(5,10)
(6,11)
(6,11)
(7,7)
(6,7)
(6,10)
(6,14)
(5,9)
(5,14)
(7,11)
(6,8)
(6,7)
(6,8)
(5,17)
(5,17)
(6,16)
(6,16)
(6,18)
(6,14)
(6,10)
(6,18)
(7,14)
(6,9)
(5,16)
(5,10)
(6,13)
(6,10)
(7,13)
(6,15)
(6,8)
(6,12)
(5,12)
(5,14)
(7,14)
(6,17)
(6,14)
(6,15)
(6,18)
(6,16)
(7,13)
(5,18)
(5,15)
(5,17)
(6,12)
(6,16)
(7,16)
(6,12)
(6,17)
(6,11)
(6,10)
(5,17)
(5,19)
(5,19)
(6,18)
(6,19)
(6,16)
(6,12)
(6,16)
(6,15)
(5,14)
(5,16)
(5,17)
(6,20)
(6,17)
(6,14)
(6,19)
(6,16)
(6,20)
(6,18)
(6,18)
(5,18)
(5,20)
(6,20)
(6,18)
(6,17)
(6,16)
(7,18)
(6,20)
(6,17)
(6,17)
(5,17)
(6,97)
(6,101)
(6,87)
(6,91)
(6,96)
(6,92)
(7,89)
(6,87)
(6,73)
(6,63)
(6,33)
(6,19)
(7,19)
(6,17)
(6,20)
(6,19)
(6,17)
(5,16)
(6,22)
(6,23)
(6,22)
(6,22)
(6,19)
(6,20)
(7,15)
(6,15)
(6,16)
(5,16)
(5,14)
(5,16)
(6,17)
(6,18)
(6,17)
(6,17)
(6,20)
(6,18)
(7,16)
(5,15)
(5,18)
(6,19)
(6,16)
(6,17)
(6,13)
(6,16)
(6,10)
(6,13)
(6,15)
(5,12)
(5,18)
(7,19)
(6,19)
(6,22)
(6,14)
(6,10)
(6,16)
(6,11)
(5,14)
(5,17)
(5,14)
(6,16)
(6,19)
(7,19)
(6,9)
(6,14)
(6,15)
(5,13)
(5,19)
(6,17)
(6,22)
(6,20)
(6,18)
(6,16)
(6,14)
(7,14)
(6,16)
(6,16)
(5,13)
(5,20)
(6,19)
