5)
(6,3)
(6,5)
(6,7)
(5,6)
(6,11)
(6,5)
(6,6)
(6,10)
(6,2)
(5,10)
(5,7)
(6,8)
(6,7)
(6,6)
(7,7)
(5,6)
(5,10)
(6,6)
(6,13)
(6,8)
(7,8)
(6,10)
(5,9)
(5,9)
(6,12)
(6,9)
(7,11)
(6,9)
(6,2)
(6,10)
(5,8)
(5,9)
(7,7)
(6,8)
(6,7)
(6,7)
(5,7)
(5,4)
(7,7)
(6,7)
(6,6)
(6,7)
(5,3)
(5,9)
(7,12)
(6,4)
(6,6)
(6,8)
(5,7)
(5,7)
(6,10)
(6,8)
(6,8)
(6,6)
(5,6)
(5,9)
(5,9)
(6,6)
(6,6)
(6,7)
(6,10)
(5,8)
(5,7)
(7,7)
(6,8)
(6,6)
(6,5)
(6,7)
(5,9)
(6,8)
(6,10)
(6,9)
(6,6)
(6,5)
(6,8)
(6,12)
(5,9)
(6,10)
(6,12)
(6,5)
(6,10)
(7,9)
(5,8)
(5,10)
(6,11)
(6,10)
(6,10)
(7,11)
(6,10)
(6,7)
(6,9)
(5,8)
(5,11)
(7,8)
(6,12)
(6,13)
(6,7)
(6,14)
(6,12)
(7,8)
(5,9)
(5,18)
(5,16)
(6,10)
(6,18)
(7,16)
(6,16)
(6,11)
(6,12)
(6,9)
(5,10)
(6,17)
(6,18)
(6,10)
(6,11)
(6,13)
(6,8)
(7,7)
(6,14)
(5,14)
(5,15)
(5,20)
(6,15)
(7,17)
(6,15)
(6,13)
(6,15)
(6,15)
(6,13)
(7,15)
(6,17)
(6,16)
(5,17)
(5,16)
(5,16)
(7,19)
(6,12)
(6,15)
(6,16)
(6,14)
(6,15)
(7,17)
(6,18)
(6,18)
(6,14)
(5,15)
(5,17)
(6,17)
(6,15)
(6,18)
(6,17)
(6,14)
(6,18)
(7,17)
(6,20)
(6,14)
(6,15)
(6,16)
(5,16)
(6,15)
(6,17)
(6,19)
(6,14)
(6,18)
(6,18)
(7,16)
(6,17)
(6,14)
(6,15)
(5,15)
(5,13)
(6,16)
(6,16)
(6,16)
(6,17)
(6,19)
(6,18)
(7,17)
(6,17)
(6,19)
(6,15)
(6,16)
(5,15)
(6,19)
(5,17)
(6,18)
(6,16)
(6,16)
(6,17)
(7,16)
(6,16)
(6,15)
(6,14)
(6,14)
(6,16)
(5,15)
(5,15)
(6,17)
(6,20)
(6,20)
(6,17)
(7,14)
(6,18)
(6,14)
(6,17)
(6,15)
(5,15)
(5,15)
(6,17)
(6,16)
(6,20)
(6,20)
(6,18)
(6,16)
