(36,9)
636,12)
(36,13)
5,14)
(36,12)
(36,10)
(36,17)
(36,14)
(36,14)
(35,9)
(35,10)
(35,16)
(35,7)
(35,7)
(36,4)
(35,7)
(36,12)
(36,13)
5,14)
(36,12)
(36,10)
(36,17)
(36,14)
(36,14)
(35,9)
(35,10)
(35,16)
(35,7)
(35,7)
(36,4)
(35,7)
(36,12)
(36,13)
(34,0)
(36,0)
(35,1)
(35,4)
(36,2)
(34,2)
(35,1)
(36,2)
(35,3)
(36,4)
(36,3)
(34,3)
(35,2)
(36,4)
(36,3)
(35,2)
(35,2)
(35,3)
(36,2)
(35,2)
(36,2)
(36,3)
(35,8)
(34,0)
(36,3)
(35,6)
(35,4)
(36,2)
(36,3)
(34,3)
(35,4)
(36,7)
(36,3)
(36,9)
(35,4)
(34,1)
(36,4)
(36,6)
(35,9)
(35,1)
(36,8)
(35,3)
(35,3)
(35,1)
(36,4)
(36,7)
(35,2)
(34,2)
(36,3)
(36,5)
(35,6)
(35,8)
(36,1)
(36,8)
(34,5)
(35,4)
(36,6)
(36,6)
(36,3)
(34,6)
(34,3)
(36,0)
(36,6)
(35,9)
(35,0)
(36,7)
(35,5)
(36,8)
(35,8)
(36,3)
(36,5)
(35,7)
(34,5)
(36,1)
(36,5)
(36,3)
(35,8)
(35,2)
(35,4)
(36,5)
(35,6)
(35,7)
(36,3)
(36,4)
(35,2)
(35,6)
(35,8)
(36,7)
(36,5)
(36,7)
(34,9)
(35,4)
(36,6)
(36,3)
(36,3)
(35,7)
(34,1)
(36,16)
(36,9)
(36,3)
(35,10)
(35,4)
(35,10)
(36,5)
(36,5)
(35,5)
(35,6)
(36,0)
(35,2)
(36,6)
(35,4)
(35,8)
(35,2)
(36,5)
(35,16)
(36,3)
(35,10)
(35,6)
(35,1)
(36,8)
(35,11)
(35,0)
(35,6)
(35,5)
(36,7)
(36,7)
(34,4)
(35,5)
(36,4)
(36,9)
(36,5)
(35,5)
(34,3)
(36,1)
(36,5)
(36,8)
(35,6)
(35,8)
(35,7)
(36,6)
(36,4)
(35,5)
(35,4)
(35,1)
(35,4)
(36,10)
(36,5)
(35,8)
(35,7)
(36,10)
(36,10)
(35,10)
(35,9)
(35,4)
(35,7)
(36,9)
(36,4)
(35,11)
(35,8)
(35,5)
(35,3)
(36,3)
(36,10)
(35,6)
(35,9)
(35,6)
(36,4)
(36,5)
(36,13)
(35,14)
(35,18)
(35,8)
(36,7)
(36,6)
(36,8)
(34,9)
(35,6)
(36,7)
(36,3)
(36,4)
(35,6)
(34,2)
(36,6)
(36,3)
(36,11)
(35,12)
(35,15)
(34,2)
(36,2)
(36,3)
(36,7)
(35,3)
(35,6)
(35,2)
(36,12)
(36,13)
(36,11)
(35,13)
(35,13)
(34,3)
(36,3)
(36,2)
(36,13)
(35,7)
(35,9)
(35,4)
(36,5)
(36,6)
(36,8)
(35,5)
(35,3)
(35,9)
(36,11)
(36,3)
(35,11)
(35,6)
(35,12)
(35,9)
(36,7)
(36,14)
(36,7)
(35,10)
(35,9)
(36,1)
(35,3)
(36,14)
(35,7)
(35,3)
(36,2)
(36,3)
(34,3)
(35,5)
(36,0)
(35,2)
(35,2)
(36,2)
(34,1)
(36,0)
(36,5)
(35,4)
(36,0)
(34,10)
(34,5)
(36,3)
(35,2)
(35,3)
(36,2)
(34,4)
(36,2)
(35,6)
(35,3)
(36,0)
(35,3)
(34,1)
(36,3)
(35,4)
(36,1)
(36,2)
(35,3)
(35,3)
(35,5)
(35,5)
(36,1)
(35,8)
(35,1)
(35,3)
(35,6)
(36,3)
(36,7)
(35,4)
(36,2)
(34,2)
(35,3)
(36,1)
(35,4)
(35,3)
(36,1)
(34,5)
(35,3)
(36,3)
(35,3)
(35,2)
(36,1)
(34,2)
(35,4)
(36,6)
(35,5)
(35,1)
(36,4)
(34,5)
(36,4)
(36,9)
(35,5)
(36,5)
(35,5)
(34,8)
(36,1)
(35,5)
(35,5)
(36,4)
(35,4)
(34,1)
(36,3)
(35,3)
(35,2)
(36,4)
(35,8)
(34,1)
(36,3)
(35,3)
(36,1)
(35,2)
(35,3)
(35,4)
(35,3)
(35,4)
(36,1)
(35,4)
(35,4)
(35,6)
(35,6)
(35,4)
(36,6)
(35,4)
(35,1)
(35,3)
(35,5)
(35,1)
(36,2)
(35,4)
(36,0)
(35,6)
(35,3)
(36,1)
(36,2)
(35,5)
(35,2)
(36,0)
(35,9)
(36,3)
(36,9)
(35,2)
(35,5)
(36,3)
(35,10)
(36,5)
(36,7)
(35,5)
(35,2)
(35,4)
(35,5)
(36,3)
(35,2)
(35,5)
(35,3)
(35,6)
(35,3)
(36,7)
(35,5)
(35,3)
(35,6)
(35,3)
(35,5)
(36,3)
(35,4)
(36,1)
(35,6)
(35,5)
(36,2)
(35,4)
(35,6)
(36,1)
(34,3)
(35,4)
(36,4)
(35,5)
(35,3)
(36,1)
(34,4)
(35,3)
(36,3)
(35,3)
(36,1)
(36,3)
(34,3)
(36,6)
(36,4)
(35,3)
(36,1)
(35,4)
(34,3)
(36,1)
(35,3)
(35,3)
(36,1)
(35,3)
(34,3)
(36,4)
(35,5)
(35,2)
(36,3)
(35,2)
(35,2)
(36,5)
(35,3)
(36,4)
(36,4)
(35,6)
(35,1)
(35,4)
(35,1)
(36,13)
(35,4)
(35,4)
(35,4)
(35,4)
(35,1)
(36,3)
(35,2)
(36,2)
(34,6)
(35,4)
(36,0)
(35,3)
(35,5)
(36,6)
(34,3)
(35,6)
(36,4)
(35,4)
(35,5)
(36,7)
(34,5)
(36,5)
(36,7)
(35,5)
(36,2)
(35,2)
(35,6)
(36,2)
(35,4)
(35,3)
(36,1)
(34,3)
(35,5)
(36,1)
(35,3)
(35,2)
(36,3)
(34,3)
(35,1)
(36,6)
(35,5)
(36,2)
(35,4)
(34,1)
(36,2)
(35,2)
(35,1)
(36,2)
(35,3)
(35,2)
(36,3)
(35,3)
(36,1)
(35,3)
(35,1)
(35,5)
(35,3)
(35,1)
(36,6)
(35,4)
(36,3)
(34,3)
(35,1)
(36,5)
(35,3)
(35,1)
(35,3)
(34,3)
(36,0)
(35,3)
(35,5)
(36,6)
(35,3)
(35,1)
(35,4)
(35,1)
(36,5)
(35,6)
(35,1)
(35,3)
(35,6)
(36,1)
(35,3)
(35,0)
(36,3)
(34,1)
(36,4)
(35,3)
(35,3)
(36,3)
(34,3)
(34,2)
(35,6)
(35,3)
(36,1)
(35,2)
(34,1)
(36,3)
(35,4)
(36,1)
(35,6)
(35,1)
(35,2)
(35,3)
(36,1)
(35,6)
(35,4)
(36,3)
(34,2)
(36,1)
(35,3)
(35,1)
(36,3)
(35,5)
(34,1)
(36,2)
(35,3)
(36,2)
(35,2)
(35,0)
(35,5)
(35,6)
(36,2)
(35,2)
(35,1)
(36,2)
(34,3)
(36,0)
(35,4)
(35,2)
(36,2)
(35,2)
(34,2)
(36,0)
(35,3)
(35,5)
(36,5)
(35,4)
(34,3)
(36,1)
(35,4)
(36,1)
(36,9)
(35,8)
